Symbol: ZWK22,,,Study: OPINT
Date Time,Close,Change,Open Interest
24/03/2022 12:52,1093.5,-0.25,
24/03/2022 12:53,1093.75,0.25,
24/03/2022 12:55,1093.5,-0.25,
24/03/2022 12:56,1093.5,0,
24/03/2022 12:57,1093.5,0,
24/03/2022 12:58,1093.5,0,
24/03/2022 12:59,1092,-1.5,
24/03/2022 13:00,1091.5,-0.5,
24/03/2022 13:01,1090.75,-0.75,
24/03/2022 13:02,1092.25,1.5,
24/03/2022 13:03,1090.75,-1.5,
24/03/2022 13:04,1089.25,-1.5,
24/03/2022 13:05,1087.75,-1.5,
24/03/2022 13:06,1087.5,-0.25,
24/03/2022 13:07,1087.5,0,
24/03/2022 13:08,1087.25,-0.25,
24/03/2022 13:09,1085.75,-1.5,
24/03/2022 13:10,1085.75,0,
24/03/2022 13:11,1087.25,1.5,
24/03/2022 13:12,1086.75,-0.5,
24/03/2022 13:13,1085.5,-1.25,
24/03/2022 13:14,1086,0.5,
24/03/2022 13:15,1089.75,3.75,
24/03/2022 13:16,1087,-2.75,
24/03/2022 13:17,1086.75,-0.25,
24/03/2022 13:18,1086.25,-0.5,
24/03/2022 13:19,1085.75,-0.5,
24/03/2022 19:00,1087.5,1.75,
24/03/2022 19:01,1088.5,1,
24/03/2022 19:02,1088.25,-0.25,
24/03/2022 19:03,1086.25,-2,
24/03/2022 19:04,1088.5,2.25,
24/03/2022 19:05,1088,-0.5,
24/03/2022 19:06,1089.5,1.5,
24/03/2022 19:07,1089.5,0,
24/03/2022 19:08,1089.75,0.25,
24/03/2022 19:09,1088.25,-1.5,
24/03/2022 19:11,1088.25,0,
24/03/2022 19:14,1089.5,1.25,
24/03/2022 19:15,1090.25,0.75,
24/03/2022 19:16,1090,-0.25,
24/03/2022 19:17,1093,3,
24/03/2022 19:18,1092.75,-0.25,
24/03/2022 19:20,1092.25,-0.5,
24/03/2022 19:21,1092.5,0.25,
24/03/2022 19:23,1091,-1.5,
24/03/2022 19:24,1091.25,0.25,
24/03/2022 19:28,1092.5,1.25,
24/03/2022 19:29,1092.75,0.25,
24/03/2022 19:30,1094,1.25,
24/03/2022 19:31,1093.25,-0.75,
24/03/2022 19:32,1093.25,0,
24/03/2022 19:34,1092.5,-0.75,
24/03/2022 19:35,1090.25,-2.25,
24/03/2022 19:36,1091,0.75,
24/03/2022 19:37,1092.25,1.25,
24/03/2022 19:38,1090.5,-1.75,
24/03/2022 19:39,1090.5,0,
24/03/2022 19:40,1091.75,1.25,
24/03/2022 19:43,1090.75,-1,
24/03/2022 19:44,1090.5,-0.25,
24/03/2022 19:45,1089.5,-1,
24/03/2022 19:47,1090.25,0.75,
24/03/2022 19:48,1089.5,-0.75,
24/03/2022 19:54,1091.25,1.75,
24/03/2022 19:55,1091,-0.25,
24/03/2022 19:57,1092.5,1.5,
24/03/2022 19:58,1093.5,1,
24/03/2022 19:59,1092.5,-1,
24/03/2022 20:00,1091.25,-1.25,
24/03/2022 20:01,1090.5,-0.75,
24/03/2022 20:02,1091.25,0.75,
24/03/2022 20:03,1090.25,-1,
24/03/2022 20:04,1091,0.75,
24/03/2022 20:07,1091,0,
24/03/2022 20:09,1091.75,0.75,
24/03/2022 20:10,1092.5,0.75,
24/03/2022 20:11,1092.5,0,
24/03/2022 20:13,1093,0.5,
24/03/2022 20:15,1092.25,-0.75,
24/03/2022 20:16,1092.5,0.25,
24/03/2022 20:17,1091.75,-0.75,
24/03/2022 20:18,1092.75,1,
24/03/2022 20:20,1094.25,1.5,
24/03/2022 20:22,1093.75,-0.5,
24/03/2022 20:27,1093.25,-0.5,
24/03/2022 20:28,1094.75,1.5,
24/03/2022 20:30,1094.5,-0.25,
24/03/2022 20:32,1094.25,-0.25,
24/03/2022 20:34,1093,-1.25,
24/03/2022 20:35,1093.5,0.5,
24/03/2022 20:36,1093.25,-0.25,
24/03/2022 20:37,1092.25,-1,
24/03/2022 20:38,1092.25,0,
24/03/2022 20:40,1092.25,0,
24/03/2022 20:43,1092.25,0,
24/03/2022 20:45,1093.75,1.5,
24/03/2022 20:48,1094.5,0.75,
24/03/2022 20:49,1093.75,-0.75,
24/03/2022 20:51,1094.75,1,
24/03/2022 20:52,1094,-0.75,
24/03/2022 20:53,1094,0,
24/03/2022 20:54,1093,-1,
24/03/2022 20:56,1095.25,2.25,
24/03/2022 20:57,1094.75,-0.5,
